Entry	Taxonomic_lineage_PHYLUM	Taxonomic_lineage_SUPERKINGDOM	Taxonomic_lineage_CLASS	Gene_ontology_GO	Gene_ontology_biological_process	Gene_ontology_molecular_function	Gene_ontology_cellular_component	Gene_ontology_IDs	Protein_names	Protein_families	Cross_reference_eggNOG	Cross_reference_Gene3D	Cross_reference_HOGENOM	Cross_reference_OMA	Cross_reference_OrthoDB	Cross_reference_Pfam	Cross_reference_SMART	Cross_reference_SUPFAM
Q9HLB6	Candidatus Thermoplasmatota	Archaea	Thermoplasmata	cytoplasm [GO:0005737]; triose-phosphate isomerase activity [GO:0004807]; gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]	gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]	triose-phosphate isomerase activity [GO:0004807]	cytoplasm [GO:0005737]	GO:0004807; GO:0005737; GO:0006094; GO:0006096	Triosephosphate isomerase (TIM) (TPI) (EC 5.3.1.1) (Triose-phosphate isomerase)	Triosephosphate isomerase family	arCOG01087;	3.20.20.70;	CLU_104921_0_0_2;	IPVYAQH;	60670at2157;	PF00121;	None	SSF51351;
A2FT29	Parabasalia (parabasalids)	Eukaryota	None	cytosol [GO:0005829]; triose-phosphate isomerase activity [GO:0004807]; gluconeogenesis [GO:0006094]; glyceraldehyde-3-phosphate biosynthetic process [GO:0046166]; glycerol catabolic process [GO:0019563]; glycolytic process [GO:0006096]	gluconeogenesis [GO:0006094]; glyceraldehyde-3-phosphate biosynthetic process [GO:0046166]; glycerol catabolic process [GO:0019563]; glycolytic process [GO:0006096]	triose-phosphate isomerase activity [GO:0004807]	cytosol [GO:0005829]	GO:0004807; GO:0005829; GO:0006094; GO:0006096; GO:0019563; GO:0046166	Triosephosphate isomerase (EC 5.3.1.1)	Triosephosphate isomerase family	KOG1643;	3.20.20.70;	None	QVIACIG;	None	PF00121;	None	SSF51351;
A2EGX9	Parabasalia (parabasalids)	Eukaryota	None	cytosol [GO:0005829]; triose-phosphate isomerase activity [GO:0004807]; gluconeogenesis [GO:0006094]; glyceraldehyde-3-phosphate biosynthetic process [GO:0046166]; glycerol catabolic process [GO:0019563]; glycolytic process [GO:0006096]	gluconeogenesis [GO:0006094]; glyceraldehyde-3-phosphate biosynthetic process [GO:0046166]; glycerol catabolic process [GO:0019563]; glycolytic process [GO:0006096]	triose-phosphate isomerase activity [GO:0004807]	cytosol [GO:0005829]	GO:0004807; GO:0005829; GO:0006094; GO:0006096; GO:0019563; GO:0046166	Triosephosphate isomerase (EC 5.3.1.1)	Triosephosphate isomerase family	KOG1643;	3.20.20.70;	None	VWAIGEH;	None	PF00121;	None	SSF51351;
Q7NAQ4	Tenericutes	Bacteria	Mollicutes	cytoplasm [GO:0005737]; triose-phosphate isomerase activity [GO:0004807]; gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]	gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]	triose-phosphate isomerase activity [GO:0004807]	cytoplasm [GO:0005737]	GO:0004807; GO:0005737; GO:0006094; GO:0006096	Triosephosphate isomerase (TIM) (TPI) (EC 5.3.1.1) (Triose-phosphate isomerase)	Triosephosphate isomerase family	None	3.20.20.70;	CLU_024251_2_3_14;	QEVCGAI;	1266295at2;	PF00121;	None	SSF51351;
A0A1D3TX75	Firmicutes	Bacteria	Clostridia	cytoplasm [GO:0005737]; triose-phosphate isomerase activity [GO:0004807]; gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]	gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]	triose-phosphate isomerase activity [GO:0004807]	cytoplasm [GO:0005737]	GO:0004807; GO:0005737; GO:0006094; GO:0006096	Triosephosphate isomerase (EC 5.3.1.1)	Triosephosphate isomerase family	None	3.20.20.70;	None	None	None	PF00121;	None	SSF51351;
Q12UK2	Euryarchaeota	Archaea	Methanomicrobia	cytoplasm [GO:0005737]; triose-phosphate isomerase activity [GO:0004807]; gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]	gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]	triose-phosphate isomerase activity [GO:0004807]	cytoplasm [GO:0005737]	GO:0004807; GO:0005737; GO:0006094; GO:0006096	Triosephosphate isomerase (TIM) (TPI) (EC 5.3.1.1) (Triose-phosphate isomerase)	Triosephosphate isomerase family	None	3.20.20.70;	CLU_104921_0_0_2;	IPVYAQH;	60670at2157;	PF00121;	None	SSF51351;
P62002	Euryarchaeota	Archaea	Thermococci	cytoplasm [GO:0005737]; triose-phosphate isomerase activity [GO:0004807]; gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]	gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]	triose-phosphate isomerase activity [GO:0004807]	cytoplasm [GO:0005737]	GO:0004807; GO:0005737; GO:0006094; GO:0006096	Triosephosphate isomerase (TIM) (TPI) (EC 5.3.1.1) (Triose-phosphate isomerase)	Triosephosphate isomerase family	arCOG01087;	3.20.20.70;	CLU_104921_0_0_2;	IPVYAQH;	60670at2157;	PF00121;	None	SSF51351;
B6YUE5	Euryarchaeota	Archaea	Thermococci	cytoplasm [GO:0005737]; triose-phosphate isomerase activity [GO:0004807]; gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]	gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]	triose-phosphate isomerase activity [GO:0004807]	cytoplasm [GO:0005737]	GO:0004807; GO:0005737; GO:0006094; GO:0006096	Triosephosphate isomerase (TIM) (TPI) (EC 5.3.1.1) (Triose-phosphate isomerase)	Triosephosphate isomerase family	arCOG01087;	3.20.20.70;	CLU_104921_0_0_2;	IPVYAQH;	60670at2157;	PF00121;	None	SSF51351;
Q97VM8	Crenarchaeota	Archaea	Thermoprotei	cytosol [GO:0005829]; triose-phosphate isomerase activity [GO:0004807]; gluconeogenesis [GO:0006094]; glyceraldehyde-3-phosphate biosynthetic process [GO:0046166]; glycerol catabolic process [GO:0019563]; glycolytic process [GO:0006096]	gluconeogenesis [GO:0006094]; glyceraldehyde-3-phosphate biosynthetic process [GO:0046166]; glycerol catabolic process [GO:0019563]; glycolytic process [GO:0006096]	triose-phosphate isomerase activity [GO:0004807]	cytosol [GO:0005829]	GO:0004807; GO:0005829; GO:0006094; GO:0006096; GO:0019563; GO:0046166	Triosephosphate isomerase (TIM) (TPI) (EC 5.3.1.1) (Triose-phosphate isomerase)	Triosephosphate isomerase family	arCOG01087;	3.20.20.70;	CLU_104921_0_0_2;	IPVYAQH;	None	PF00121;	None	SSF51351;
Q6GIL6	Firmicutes	Bacteria	Bacilli	cytoplasm [GO:0005737]; triose-phosphate isomerase activity [GO:0004807]; gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]	gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]	triose-phosphate isomerase activity [GO:0004807]	cytoplasm [GO:0005737]	GO:0004807; GO:0005737; GO:0006094; GO:0006096	Triosephosphate isomerase (TIM) (TPI) (EC 5.3.1.1) (Triose-phosphate isomerase)	Triosephosphate isomerase family	None	3.20.20.70;	CLU_024251_2_3_9;	QEVCGAI;	1266295at2;	PF00121;	None	SSF51351;
O74025	Euryarchaeota	Archaea	Methanobacteria	cytoplasm [GO:0005737]; triose-phosphate isomerase activity [GO:0004807]; gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]	gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]	triose-phosphate isomerase activity [GO:0004807]	cytoplasm [GO:0005737]	GO:0004807; GO:0005737; GO:0006094; GO:0006096	Triosephosphate isomerase (TIM) (TPI) (EC 5.3.1.1) (Triose-phosphate isomerase)	Triosephosphate isomerase family	None	3.20.20.70;	None	None	None	PF00121;	None	SSF51351;
Q5CSE7	Apicomplexa	Eukaryota	Conoidasida	triose-phosphate isomerase activity [GO:0004807]; gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]	gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]	triose-phosphate isomerase activity [GO:0004807]	None	GO:0004807; GO:0006094; GO:0006096	Triosephosphate isomerase (EC 5.3.1.1)	Triosephosphate isomerase family	None	3.20.20.70;	None	QEVCGAI;	None	PF00121;	None	SSF51351;
