Entry	Taxonomic_lineage_PHYLUM	Taxonomic_lineage_SUPERKINGDOM	Taxonomic_lineage_CLASS	Gene_ontology_GO	Gene_ontology_biological_process	Gene_ontology_molecular_function	Gene_ontology_cellular_component	Gene_ontology_IDs	Protein_names	Protein_families	Cross_reference_eggNOG	Cross_reference_Gene3D	Cross_reference_HOGENOM	Cross_reference_OMA	Cross_reference_OrthoDB	Cross_reference_Pfam	Cross_reference_SMART	Cross_reference_SUPFAM
O01854	Nematoda (roundworms)	Eukaryota	Chromadorea	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; kinase activity [GO:0016301]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; kinase activity [GO:0016301]	None	GO:0004054; GO:0004111; GO:0005524; GO:0016301; GO:0016310; GO:0046314	Arginine kinase (EC 2.7.3.3)	ATP:guanido phosphotransferase family	KOG3581;	1.10.135.10;	CLU_019868_0_0_1;	MYDGVKH;	825025at2759;	PF00217;PF02807;	None	SSF48034;SSF55931;
O45011	Nematoda (roundworms)	Eukaryota	Chromadorea	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; kinase activity [GO:0016301]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; kinase activity [GO:0016301]	None	GO:0004054; GO:0004111; GO:0005524; GO:0016301; GO:0016310; GO:0046314	Arginine kinase (EC 2.7.3.3)	ATP:guanido phosphotransferase family	KOG3581;	1.10.135.10;	CLU_019868_0_0_1;	EYHGFTP;	825025at2759;	PF00217;PF02807;	None	SSF48034;SSF55931;
O45518	Nematoda (roundworms)	Eukaryota	Chromadorea	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; kinase activity [GO:0016301]; ATP metabolic process [GO:0046034]; determination of adult lifespan [GO:0008340]; hydrogen peroxide metabolic process [GO:0042743]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	ATP metabolic process [GO:0046034]; determination of adult lifespan [GO:0008340]; hydrogen peroxide metabolic process [GO:0042743]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; kinase activity [GO:0016301]	None	GO:0004054; GO:0004111; GO:0005524; GO:0008340; GO:0016301; GO:0016310; GO:0042743; GO:0046034; GO:0046314	Arginine kinase (EC 2.7.3.3)	ATP:guanido phosphotransferase family	KOG3581;	1.10.135.10;	CLU_019868_0_0_1;	ERCKAIM;	825025at2759;	PF00217;PF02807;	None	SSF48034;SSF55931;
Q38EU9	Euglenozoa	Eukaryota	Kinetoplastea (kinetoplasts)	ciliary plasm [GO:0097014]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; glycosome [GO:0020015]; arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; kinase activity [GO:0016301]; transferase activity, transferring phosphorus-containing groups [GO:0016772]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; kinase activity [GO:0016301]; transferase activity, transferring phosphorus-containing groups [GO:0016772]	ciliary plasm [GO:0097014]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; glycosome [GO:0020015]	GO:0004054; GO:0004111; GO:0005524; GO:0005737; GO:0005829; GO:0016301; GO:0016310; GO:0016772; GO:0020015; GO:0046314; GO:0097014	Arginine kinase (EC 2.7.3.3)	ATP:guanido phosphotransferase family	KOG3581;	1.10.135.10;	None	IIMQERV;	None	PF00217;PF02807;	None	SSF48034;SSF55931;
Q38EV1	Euglenozoa	Eukaryota	Kinetoplastea (kinetoplasts)	cytoplasm [GO:0005737]; glycosome [GO:0020015]; arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; kinase activity [GO:0016301]; transferase activity, transferring phosphorus-containing groups [GO:0016772]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; kinase activity [GO:0016301]; transferase activity, transferring phosphorus-containing groups [GO:0016772]	cytoplasm [GO:0005737]; glycosome [GO:0020015]	GO:0004054; GO:0004111; GO:0005524; GO:0005737; GO:0016301; GO:0016310; GO:0016772; GO:0020015; GO:0046314	Arginine kinase (EC 2.7.3.3)	ATP:guanido phosphotransferase family	KOG3581;	1.10.135.10;	None	ECLTPTI;	None	PF00217;PF02807;	None	SSF48034;SSF55931;
Q38EV2	Euglenozoa	Eukaryota	Kinetoplastea (kinetoplasts)	ciliary membrane [GO:0060170]; cilium [GO:0005929]; glycosome [GO:0020015]; arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; kinase activity [GO:0016301]; transferase activity, transferring phosphorus-containing groups [GO:0016772]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; kinase activity [GO:0016301]; transferase activity, transferring phosphorus-containing groups [GO:0016772]	ciliary membrane [GO:0060170]; cilium [GO:0005929]; glycosome [GO:0020015]	GO:0004054; GO:0004111; GO:0005524; GO:0005929; GO:0016301; GO:0016310; GO:0016772; GO:0020015; GO:0046314; GO:0060170	Arginine kinase (EC 2.7.3.3)	ATP:guanido phosphotransferase family	KOG3581;	1.10.135.10;	None	EYHNGFG;	None	PF00217;PF02807;	None	SSF48034;SSF55931;
Q9U420	Euglenozoa	Eukaryota	Kinetoplastea (kinetoplasts)	ciliary membrane [GO:0060170]; ciliary plasm [GO:0097014]; cilium [GO:0005929]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; glycosome [GO:0020015]; arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; transferase activity, transferring phosphorus-containing groups [GO:0016772]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; transferase activity, transferring phosphorus-containing groups [GO:0016772]	ciliary membrane [GO:0060170]; ciliary plasm [GO:0097014]; cilium [GO:0005929]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; glycosome [GO:0020015]	GO:0004054; GO:0004111; GO:0005524; GO:0005737; GO:0005829; GO:0005929; GO:0016310; GO:0016772; GO:0020015; GO:0046314; GO:0060170; GO:0097014	Arginine kinase	ATP:guanido phosphotransferase family	None	1.10.135.10;	None	None	None	PF00217;PF02807;	None	SSF48034;SSF55931;
O004B5	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
W8GJF4	Arthropoda	Eukaryota	Malacostraca	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004054; GO:0004111; GO:0005524; GO:0016310; GO:0046314	Arginine kinase (EC 2.7.3.3)	ATP:guanido phosphotransferase family	None	1.10.135.10;	None	None	None	PF00217;PF02807;	None	SSF48034;SSF55931;
C0STY3	Arthropoda	Eukaryota	Malacostraca	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	phosphocreatine biosynthetic process [GO:0046314]; phosphorylation [GO:0016310]	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]	None	GO:0004054; GO:0004111; GO:0005524; GO:0016310; GO:0046314	Arginine kinase (EC 2.7.3.3)	ATP:guanido phosphotransferase family	None	1.10.135.10;	None	None	None	PF00217;PF02807;	None	SSF48034;SSF55931;
