Entry	Taxonomic_lineage_PHYLUM	Taxonomic_lineage_SUPERKINGDOM	Taxonomic_lineage_CLASS	Gene_ontology_GO	Gene_ontology_biological_process	Gene_ontology_molecular_function	Gene_ontology_cellular_component	Gene_ontology_IDs	Protein_names	Protein_families	Cross_reference_eggNOG	Cross_reference_Gene3D	Cross_reference_HOGENOM	Cross_reference_OMA	Cross_reference_OrthoDB	Cross_reference_Pfam	Cross_reference_SMART	Cross_reference_SUPFAM
Q72HW2	Deinococcus-Thermus	Bacteria	Deinococci	copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]	None	copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]	None	GO:0005507; GO:0052716	Laccase (EC 1.10.3.2)	None	COG2132;	2.60.40.420;	CLU_009100_2_1_0;	LLPKQWG;	971126at2;	PF00394;PF07731;PF07732;	None	SSF49503;
Q9KJB8	Proteobacteria	Bacteria	Gammaproteobacteria	copper ion binding [GO:0005507]; oxidoreductase activity [GO:0016491]	None	copper ion binding [GO:0005507]; oxidoreductase activity [GO:0016491]	None	GO:0005507; GO:0016491	Polyphenol oxidase	None	None	2.60.40.420;	None	RTRYERY;	None	PF07731;PF07732;	None	SSF49503;
A0A144KZJ7	Basidiomycota	Eukaryota	Agaricomycetes	extracellular region [GO:0005576]; copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]	None	copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]	extracellular region [GO:0005576]	GO:0005507; GO:0005576; GO:0052716	Laccase (EC 1.10.3.2)	Multicopper oxidase family	None	2.60.40.420;	None	None	None	PF00394;PF07731;PF07732;	None	SSF49503;
A0A144KZI7	Basidiomycota	Eukaryota	Agaricomycetes	extracellular region [GO:0005576]; copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]	None	copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]	extracellular region [GO:0005576]	GO:0005507; GO:0005576; GO:0052716	Laccase (EC 1.10.3.2)	Multicopper oxidase family	None	2.60.40.420;	None	None	None	PF00394;PF07731;PF07732;	None	SSF49503;
A0A144KZF3	Basidiomycota	Eukaryota	Agaricomycetes	extracellular region [GO:0005576]; copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]	None	copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]	extracellular region [GO:0005576]	GO:0005507; GO:0005576; GO:0052716	Laccase (EC 1.10.3.2)	Multicopper oxidase family	None	2.60.40.420;	None	None	None	PF00394;PF07731;PF07732;	None	SSF49503;
A0A144KZK6	Basidiomycota	Eukaryota	Agaricomycetes	extracellular region [GO:0005576]; copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]	None	copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]	extracellular region [GO:0005576]	GO:0005507; GO:0005576; GO:0052716	Laccase (EC 1.10.3.2)	Multicopper oxidase family	None	2.60.40.420;	None	None	None	PF00394;PF07731;PF07732;	None	SSF49503;
A0A0U2LZJ6	Streptophyta	Eukaryota	Magnoliopsida	apoplast [GO:0048046]; copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]; lignin catabolic process [GO:0046274]	lignin catabolic process [GO:0046274]	copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]	apoplast [GO:0048046]	GO:0005507; GO:0046274; GO:0048046; GO:0052716	Laccase (EC 1.10.3.2) (Benzenediol:oxygen oxidoreductase) (Diphenol oxidase) (Urishiol oxidase)	Multicopper oxidase family	None	2.60.40.420;	None	None	None	PF00394;PF07731;PF07732;	None	SSF49503;
X5JAK9	Basidiomycota	Eukaryota	Agaricomycetes	extracellular region [GO:0005576]; copper ion binding [GO:0005507]; oxidoreductase activity [GO:0016491]	None	copper ion binding [GO:0005507]; oxidoreductase activity [GO:0016491]	extracellular region [GO:0005576]	GO:0005507; GO:0005576; GO:0016491	Benzenediol:oxygen oxidoreductase	Multicopper oxidase family	None	2.60.40.420;	None	None	None	PF00394;PF07731;PF07732;	None	SSF49503;
Q38757	Streptophyta	Eukaryota	Magnoliopsida	apoplast [GO:0048046]; copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]; lignin catabolic process [GO:0046274]	lignin catabolic process [GO:0046274]	copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]	apoplast [GO:0048046]	GO:0005507; GO:0046274; GO:0048046; GO:0052716	Laccase (EC 1.10.3.2) (Benzenediol:oxygen oxidoreductase) (Diphenol oxidase) (Urishiol oxidase)	Multicopper oxidase family	None	2.60.40.420;	None	None	None	PF00394;PF07731;PF07732;	None	SSF49503;
Q08AC1	Basidiomycota	Eukaryota	Agaricomycetes	extracellular region [GO:0005576]; copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]	None	copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]	extracellular region [GO:0005576]	GO:0005507; GO:0005576; GO:0052716	Laccase 6 (EC 1.10.3.2)	Multicopper oxidase family	None	2.60.40.420;	None	None	None	PF00394;PF07731;PF07732;	None	SSF49503;
A0A140CWW4	Basidiomycota	Eukaryota	Agaricomycetes	extracellular region [GO:0005576]; copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]	None	copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]	extracellular region [GO:0005576]	GO:0005507; GO:0005576; GO:0052716	Laccase 3 (EC 1.10.3.2)	Multicopper oxidase family	None	2.60.40.420;	None	None	None	PF00394;PF07731;PF07732;	None	SSF49503;
A0A144KZD6	Basidiomycota	Eukaryota	Agaricomycetes	extracellular region [GO:0005576]; copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]	None	copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]	extracellular region [GO:0005576]	GO:0005507; GO:0005576; GO:0052716	Laccase (EC 1.10.3.2)	Multicopper oxidase family	None	2.60.40.420;	None	None	None	PF00394;PF07731;PF07732;	None	SSF49503;
B9W2C5	Firmicutes	Bacteria	Bacilli	copper ion binding [GO:0005507]; oxidoreductase activity [GO:0016491]	None	copper ion binding [GO:0005507]; oxidoreductase activity [GO:0016491]	None	GO:0005507; GO:0016491	Laccase	None	None	2.60.40.420;	None	None	None	PF00394;PF07731;PF07732;	None	SSF49503;
I6QS85	Basidiomycota	Eukaryota	Agaricomycetes	extracellular region [GO:0005576]; copper ion binding [GO:0005507]; oxidoreductase activity [GO:0016491]	None	copper ion binding [GO:0005507]; oxidoreductase activity [GO:0016491]	extracellular region [GO:0005576]	GO:0005507; GO:0005576; GO:0016491	Laccase	Multicopper oxidase family	None	2.60.40.420;	None	None	None	PF00394;PF07731;PF07732;	None	SSF49503;
M9Y1F2	Firmicutes	Bacteria	Bacilli	copper ion binding [GO:0005507]; oxidoreductase activity [GO:0016491]	None	copper ion binding [GO:0005507]; oxidoreductase activity [GO:0016491]	None	GO:0005507; GO:0016491	Spore coat protein	None	None	2.60.40.420;	None	None	None	PF00394;PF07731;PF07732;	None	SSF49503;
I3RYX9	Firmicutes	Bacteria	Bacilli	copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]	None	copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]	None	GO:0005507; GO:0052716	CotA (EC 1.10.3.2)	None	None	2.60.40.420;	None	None	None	PF00394;PF07731;PF07732;	None	SSF49503;
A0A165W3F6	Firmicutes	Bacteria	Bacilli	copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]	None	copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]	None	GO:0005507; GO:0052716	Laccase (EC 1.10.3.2)	None	None	2.60.40.420;	None	None	None	PF00394;PF07731;PF07732;	None	SSF49503;
A0A0U2US60	Streptophyta	Eukaryota	Magnoliopsida	apoplast [GO:0048046]; copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]; lignin catabolic process [GO:0046274]	lignin catabolic process [GO:0046274]	copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]	apoplast [GO:0048046]	GO:0005507; GO:0046274; GO:0048046; GO:0052716	Laccase (EC 1.10.3.2) (Benzenediol:oxygen oxidoreductase) (Diphenol oxidase) (Urishiol oxidase)	Multicopper oxidase family	None	2.60.40.420;	None	None	None	PF00394;PF07731;PF07732;	None	SSF49503;
K4PL78	Firmicutes	Bacteria	Bacilli	copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]	None	copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]	None	GO:0005507; GO:0052716	Laccase (EC 1.10.3.2)	None	None	2.60.40.420;	None	None	None	PF00394;PF07731;PF07732;	None	SSF49503;
X5JA14	Basidiomycota	Eukaryota	Agaricomycetes	extracellular region [GO:0005576]; copper ion binding [GO:0005507]; oxidoreductase activity [GO:0016491]	None	copper ion binding [GO:0005507]; oxidoreductase activity [GO:0016491]	extracellular region [GO:0005576]	GO:0005507; GO:0005576; GO:0016491	Benzenediol:oxygen oxidoreductase	Multicopper oxidase family	None	2.60.40.420;	None	None	None	PF00394;PF07731;PF07732;	None	SSF49503;
A0A0F6SIA9	Proteobacteria	Bacteria	Alphaproteobacteria	copper ion binding [GO:0005507]; oxidoreductase activity [GO:0016491]	None	copper ion binding [GO:0005507]; oxidoreductase activity [GO:0016491]	None	GO:0005507; GO:0016491	Copper oxidase (Fragment)	None	None	2.60.40.420;	None	None	None	PF07731;PF07732;	None	SSF49503;
