Entry	Taxonomic_lineage_PHYLUM	Taxonomic_lineage_SUPERKINGDOM	Taxonomic_lineage_CLASS	Gene_ontology_GO	Gene_ontology_biological_process	Gene_ontology_molecular_function	Gene_ontology_cellular_component	Gene_ontology_IDs	Protein_names	Protein_families	Cross_reference_eggNOG	Cross_reference_Gene3D	Cross_reference_HOGENOM	Cross_reference_OMA	Cross_reference_OrthoDB	Cross_reference_Pfam	Cross_reference_SMART	Cross_reference_SUPFAM
H1WFI3	Cyanobacteria	Bacteria	None	cytoplasm [GO:0005737]; 3-phosphoshikimate 1-carboxyvinyltransferase activity [GO:0003866]; aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	3-phosphoshikimate 1-carboxyvinyltransferase activity [GO:0003866]	cytoplasm [GO:0005737]	GO:0003866; GO:0005737; GO:0008652; GO:0009073; GO:0009423	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	EPSP synthase family	None	3.65.10.10;	None	None	None	PF00275;	None	SSF55205;
C3MC80	Proteobacteria	Bacteria	Alphaproteobacteria	cytoplasm [GO:0005737]; 3-phosphoshikimate 1-carboxyvinyltransferase activity [GO:0003866]; aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	3-phosphoshikimate 1-carboxyvinyltransferase activity [GO:0003866]	cytoplasm [GO:0005737]	GO:0003866; GO:0005737; GO:0008652; GO:0009073; GO:0009423	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	EPSP synthase family	COG0128;	3.65.10.10;	CLU_024321_0_1_5;	YEDHRMA;	533829at2;	PF00275;	None	SSF55205;
A3TGI7	Actinobacteria	Bacteria	Actinomycetia (high G+C Gram-positive bacteria)	cytoplasm [GO:0005737]; 3-phosphoshikimate 1-carboxyvinyltransferase activity [GO:0003866]; aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	3-phosphoshikimate 1-carboxyvinyltransferase activity [GO:0003866]	cytoplasm [GO:0005737]	GO:0003866; GO:0005737; GO:0008652; GO:0009073; GO:0009423	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	EPSP synthase family	COG0128;	3.65.10.10;	CLU_024321_0_0_11;	None	533829at2;	PF00275;	None	SSF55205;
A0A142K486	Streptophyta	Eukaryota	Magnoliopsida	3-phosphoshikimate 1-carboxyvinyltransferase activity [GO:0003866]; aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	3-phosphoshikimate 1-carboxyvinyltransferase activity [GO:0003866]	None	GO:0003866; GO:0008652; GO:0009073; GO:0009423	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (Fragment)	EPSP synthase family	None	3.65.10.10;	None	None	None	PF00275;	None	SSF55205;
A0A142K488	Streptophyta	Eukaryota	Magnoliopsida	3-phosphoshikimate 1-carboxyvinyltransferase activity [GO:0003866]; aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	3-phosphoshikimate 1-carboxyvinyltransferase activity [GO:0003866]	None	GO:0003866; GO:0008652; GO:0009073; GO:0009423	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (Fragment)	EPSP synthase family	None	3.65.10.10;	None	None	None	PF00275;	None	SSF55205;
A0A142K487	Streptophyta	Eukaryota	Magnoliopsida	3-phosphoshikimate 1-carboxyvinyltransferase activity [GO:0003866]; aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	3-phosphoshikimate 1-carboxyvinyltransferase activity [GO:0003866]	None	GO:0003866; GO:0008652; GO:0009073; GO:0009423	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (Fragment)	EPSP synthase family	None	3.65.10.10;	None	None	None	PF00275;	None	SSF55205;
A0A0D6KU47	Cyanobacteria	Bacteria	None	cytoplasm [GO:0005737]; 3-phosphoshikimate 1-carboxyvinyltransferase activity [GO:0003866]; aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	3-phosphoshikimate 1-carboxyvinyltransferase activity [GO:0003866]	cytoplasm [GO:0005737]	GO:0003866; GO:0005737; GO:0008652; GO:0009073; GO:0009423	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	EPSP synthase family	None	3.65.10.10;	CLU_024321_0_1_3;	None	533829at2;	PF00275;	None	SSF55205;
A0A0139XBW5	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
K9RIB8	Cyanobacteria	Bacteria	None	cytoplasm [GO:0005737]; 3-phosphoshikimate 1-carboxyvinyltransferase activity [GO:0003866]; aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	3-phosphoshikimate 1-carboxyvinyltransferase activity [GO:0003866]	cytoplasm [GO:0005737]	GO:0003866; GO:0005737; GO:0008652; GO:0009073; GO:0009423	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	EPSP synthase family	COG0128;	3.65.10.10;	CLU_024321_0_1_3;	None	533829at2;	PF00275;	None	SSF55205;
K9QNN0	Cyanobacteria	Bacteria	None	cytoplasm [GO:0005737]; 3-phosphoshikimate 1-carboxyvinyltransferase activity [GO:0003866]; aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	3-phosphoshikimate 1-carboxyvinyltransferase activity [GO:0003866]	cytoplasm [GO:0005737]	GO:0003866; GO:0005737; GO:0008652; GO:0009073; GO:0009423	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	EPSP synthase family	COG0128;	3.65.10.10;	CLU_024321_0_1_3;	YEDHRMA;	533829at2;	PF00275;	None	SSF55205;
