Entry	Taxonomic_lineage_PHYLUM	Taxonomic_lineage_SUPERKINGDOM	Taxonomic_lineage_CLASS	Gene_ontology_GO	Gene_ontology_biological_process	Gene_ontology_molecular_function	Gene_ontology_cellular_component	Gene_ontology_IDs	Protein_names	Protein_families	Cross_reference_eggNOG	Cross_reference_Gene3D	Cross_reference_HOGENOM	Cross_reference_OMA	Cross_reference_OrthoDB	Cross_reference_Pfam	Cross_reference_SMART	Cross_reference_SUPFAM
Q2SWW9	Proteobacteria	Bacteria	Betaproteobacteria	IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; GMP biosynthetic process [GO:0006177]	GMP biosynthetic process [GO:0006177]	IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]	None	GO:0000166; GO:0003938; GO:0006177; GO:0046872	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205)	IMPDH/GMPR family	None	3.20.20.70;	CLU_022552_2_1_4;	MGYCGAK;	532857at2;	PF00571;PF00478;	SM00116;	SSF54631;
C3EVF8	None	None	None	None	None	None	None	None	Deleted.	None	None	None	None	None	None	None	None	None
F1SML7	Chordata	Eukaryota	Mammalia	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; DNA binding [GO:0003677]; IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; GMP biosynthetic process [GO:0006177]; GTP biosynthetic process [GO:0006183]	GMP biosynthetic process [GO:0006177]; GTP biosynthetic process [GO:0006183]	DNA binding [GO:0003677]; IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]	GO:0000166; GO:0003677; GO:0003938; GO:0005634; GO:0005737; GO:0005829; GO:0006177; GO:0006183; GO:0046872	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205)	IMPDH/GMPR family	KOG2550;	3.20.20.70;	None	MGYCGAK;	618077at2759;	PF00571;PF00478;	SM00116;	None
Q2TUW2	Euglenozoa	Eukaryota	Kinetoplastea (kinetoplasts)	cytoplasm [GO:0005737]; IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; GMP biosynthetic process [GO:0006177]	GMP biosynthetic process [GO:0006177]	IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]	cytoplasm [GO:0005737]	GO:0000166; GO:0003938; GO:0005737; GO:0006177; GO:0046872	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205)	IMPDH/GMPR family	None	3.20.20.70;	None	None	None	PF00571;PF00478;	SM00116;	SSF54631;
A0A0K2E8F8	Firmicutes	Bacteria	Bacilli	IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; GMP biosynthetic process [GO:0006177]	GMP biosynthetic process [GO:0006177]	IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]	None	GO:0000166; GO:0003938; GO:0006177; GO:0046872	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205)	IMPDH/GMPR family	None	3.20.20.70;	None	None	532857at2;	PF00571;PF00478;	SM00116;	SSF54631;
D1MF29	Firmicutes	Bacteria	Bacilli	IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; GMP biosynthetic process [GO:0006177]	GMP biosynthetic process [GO:0006177]	IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]	None	GO:0000166; GO:0003938; GO:0006177; GO:0046872	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205)	IMPDH/GMPR family	None	3.20.20.70;	None	None	None	PF00571;PF00478;	SM00116;	SSF54631;
Q756Z6	Ascomycota	Eukaryota	Saccharomycetes	cytoplasm [GO:0005737]; IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; GMP biosynthetic process [GO:0006177]; GTP biosynthetic process [GO:0006183]	GMP biosynthetic process [GO:0006177]; GTP biosynthetic process [GO:0006183]	IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]	cytoplasm [GO:0005737]	GO:0000166; GO:0003938; GO:0005737; GO:0006177; GO:0006183; GO:0046872	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205)	IMPDH/GMPR family	KOG2550;	3.20.20.70;	CLU_022552_2_1_1;	MGYCGAK;	None	PF00571;PF00478;	SM00116;	SSF54631;
A0A0S3MSA1	Euglenozoa	Eukaryota	Kinetoplastea (kinetoplasts)	cytoplasm [GO:0005737]; IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; GMP biosynthetic process [GO:0006177]	GMP biosynthetic process [GO:0006177]	IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]	cytoplasm [GO:0005737]	GO:0000166; GO:0003938; GO:0005737; GO:0006177; GO:0046872	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205)	IMPDH/GMPR family	None	3.20.20.70;	None	None	None	PF00571;PF00478;	SM00116;	None
P9WKI7	Actinobacteria	Bacteria	Actinomycetia (high G+C Gram-positive bacteria)	peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]; IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; GMP biosynthetic process [GO:0006177]; GTP biosynthetic process [GO:0006183]; IMP catabolic process [GO:0006204]; XMP biosynthetic process [GO:0097293]	GMP biosynthetic process [GO:0006177]; GTP biosynthetic process [GO:0006183]; IMP catabolic process [GO:0006204]; XMP biosynthetic process [GO:0097293]	IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]	peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]	GO:0000166; GO:0003938; GO:0005886; GO:0006177; GO:0006183; GO:0006204; GO:0009274; GO:0046872; GO:0097293	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205) (IMPDH2)	IMPDH/GMPR family	COG0516;COG0517;	3.20.20.70;	None	MGYCGAK;	None	PF00571;PF00478;	SM00116;	SSF54631;
P99106	Firmicutes	Bacteria	Bacilli	IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; GMP biosynthetic process [GO:0006177]	GMP biosynthetic process [GO:0006177]	IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]	None	GO:0000166; GO:0003938; GO:0006177; GO:0046872	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205)	IMPDH/GMPR family	None	3.20.20.70;	CLU_022552_1_0_9;	MGYCGAK;	None	PF00571;PF00478;	SM00116;	SSF54631;
