#                                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                accession   tlen query name                        accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#        ------------------- ---------- -----              -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
A0A7J5NKL6_class_2_c2_domain -            144 kari_class_1_swissprot_c1_domains -            146   5.7e-61  202.6   0.1   1   1   6.3e-61   6.3e-61  202.5   0.1     1   146     1   144     1   144 0.99 -
A0A014N5L6_class_2_c2_domain -            141 kari_class_1_swissprot_c1_domains -            146   1.9e-25   87.4   0.3   1   1   2.4e-25   2.4e-25   87.1   0.3     6   144     6   139     3   141 0.96 -
A0A3R8YZW5_class_2_c2_domain -            141 kari_class_1_swissprot_c1_domains -            146   2.1e-25   87.3   0.3   1   1   2.6e-25   2.6e-25   86.9   0.3     6   144     6   139     3   141 0.96 -
A0A0A3YLY8_class_2_c2_domain -            141 kari_class_1_swissprot_c1_domains -            146   5.4e-25   85.9   0.2   1   1   6.7e-25   6.7e-25   85.6   0.2     6   144     6   139     3   141 0.96 -
A0A345LZZ2_class_2_c2_domain -            140 kari_class_1_swissprot_c1_domains -            146     6e-25   85.8   0.2   1   1   6.9e-25   6.9e-25   85.6   0.2     8   144     8   138     2   140 0.91 -
A0A198FR44_class_2_c2_domain -            140 kari_class_1_swissprot_c1_domains -            146   7.9e-25   85.4   0.2   1   1   9.1e-25   9.1e-25   85.2   0.2    16   144    15   138     5   140 0.89 -
A0A0G4QEJ9_class_2_c2_domain -            140 kari_class_1_swissprot_c1_domains -            146   9.7e-25   85.1   0.2   1   1   1.1e-24   1.1e-24   84.9   0.2    16   144    15   138     5   140 0.89 -
A0A6G6TCC9_class_2_c2_domain -            140 kari_class_1_swissprot_c1_domains -            146   9.7e-25   85.1   0.2   1   1   1.1e-24   1.1e-24   84.9   0.2    16   144    15   138     5   140 0.89 -
A0A6I7D5E0_class_2_c2_domain -            140 kari_class_1_swissprot_c1_domains -            146   9.7e-25   85.1   0.2   1   1   1.1e-24   1.1e-24   84.9   0.2    16   144    15   138     5   140 0.89 -
A0A6M8RC26_class_2_c2_domain -            140 kari_class_1_swissprot_c1_domains -            146   9.7e-25   85.1   0.2   1   1   1.1e-24   1.1e-24   84.9   0.2    16   144    15   138     5   140 0.89 -
A0A7G7WHT7_class_2_c2_domain -            140 kari_class_1_swissprot_c1_domains -            146   9.7e-25   85.1   0.2   1   1   1.1e-24   1.1e-24   84.9   0.2    16   144    15   138     5   140 0.89 -
A0A8I1BRP3_class_2_c2_domain -            140 kari_class_1_swissprot_c1_domains -            146   9.7e-25   85.1   0.2   1   1   1.1e-24   1.1e-24   84.9   0.2    16   144    15   138     5   140 0.89 -
C0AS12_class_2_c2_domain     -            140 kari_class_1_swissprot_c1_domains -            146   9.7e-25   85.1   0.2   1   1   1.1e-24   1.1e-24   84.9   0.2    16   144    15   138     5   140 0.89 -
A0A6G6SCW3_class_2_c2_domain -            140 kari_class_1_swissprot_c1_domains -            146   9.9e-25   85.1   0.2   1   1   1.1e-24   1.1e-24   84.9   0.2    16   144    15   138     5   140 0.89 -
A0A085JMV7_class_2_c2_domain -            141 kari_class_1_swissprot_c1_domains -            146     1e-24   85.0   0.3   1   1   1.3e-24   1.3e-24   84.7   0.3     7   144     7   139     4   141 0.94 -
A0A2X5PGS8_class_2_c2_domain -            141 kari_class_1_swissprot_c1_domains -            146     1e-24   85.0   0.3   1   1   1.3e-24   1.3e-24   84.7   0.3     7   144     7   139     4   141 0.94 -
K8WLZ8_class_2_c2_domain     -            131 kari_class_1_swissprot_c1_domains -            146   1.1e-24   84.9   0.0   1   1   1.3e-24   1.3e-24   84.6   0.0    17   144     8   129     2   131 0.91 -
A0A1J0ED54_class_2_c2_domain -            140 kari_class_1_swissprot_c1_domains -            146   1.3e-24   84.7   0.1   1   1   1.5e-24   1.5e-24   84.5   0.1    10   144    10   138     4   140 0.91 -
A0A8I2AJG1_class_2_c2_domain -            140 kari_class_1_swissprot_c1_domains -            146   1.6e-24   84.4   0.1   1   1   1.8e-24   1.8e-24   84.2   0.1     8   144     8   138     2   140 0.91 -
A0A2J9L5S8_class_2_c2_domain -            140 kari_class_1_swissprot_c1_domains -            146   1.7e-24   84.3   0.3   1   1   1.9e-24   1.9e-24   84.1   0.3    16   144    15   138     5   140 0.89 -
A0A410X9H6_class_2_c2_domain -            140 kari_class_1_swissprot_c1_domains -            146   1.8e-24   84.2   0.5   1   1   2.1e-24   2.1e-24   84.0   0.5    16   144    15   138     5   140 0.89 -
A0A3D2BL44_class_2_c2_domain -            140 kari_class_1_swissprot_c1_domains -            146   1.8e-24   84.2   0.4   1   1   2.1e-24   2.1e-24   84.0   0.4    16   144    15   138     5   140 0.89 -
A0A264VPA9_class_2_c2_domain -            140 kari_class_1_swissprot_c1_domains -            146   1.8e-24   84.2   0.1   1   1   2.1e-24   2.1e-24   84.0   0.1    10   144    10   138     4   140 0.91 -
A0A2X2FPE4_class_2_c2_domain -            140 kari_class_1_swissprot_c1_domains -            146   1.8e-24   84.2   0.1   1   1   2.1e-24   2.1e-24   84.0   0.1    10   144    10   138     4   140 0.91 -
A0A6G6QED3_class_2_c2_domain -            140 kari_class_1_swissprot_c1_domains -            146   1.8e-24   84.2   0.1   1   1   2.1e-24   2.1e-24   84.0   0.1    10   144    10   138     4   140 0.91 -
D4C426_class_2_c2_domain     -            140 kari_class_1_swissprot_c1_domains -            146   1.8e-24   84.2   0.1   1   1   2.1e-24   2.1e-24   84.0   0.1    10   144    10   138     4   140 0.91 -
A0A427HC12_class_2_c2_domain -            140 kari_class_1_swissprot_c1_domains -            146   1.8e-24   84.2   0.1   1   1   2.1e-24   2.1e-24   84.0   0.1    10   144    10   138     4   140 0.91 -
