Entry	Taxonomic_lineage_PHYLUM	Taxonomic_lineage_SUPERKINGDOM	Taxonomic_lineage_CLASS	Gene_ontology_GO	Gene_ontology_biological_process	Gene_ontology_molecular_function	Gene_ontology_cellular_component	Gene_ontology_IDs	Protein_names	Protein_families	Cross_reference_eggNOG	Cross_reference_Gene3D	Cross_reference_HOGENOM	Cross_reference_OMA	Cross_reference_OrthoDB	Cross_reference_Pfam	Cross_reference_SMART	Cross_reference_SUPFAM	BRENDA_KM	BRENDA_PHO_DATA	BRENDA_KI	BRENDA_TO_DATA	BRENDA_IC50	BRENDA_TN	BRENDA_TS_DATA
H1WFI3	Cyanobacteria	Bacteria	None	cytoplasm [GO:0005737]; 3-phosphoshikimate 1-carboxyvinyltransferase activity [GO:0003866]; aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	3-phosphoshikimate 1-carboxyvinyltransferase activity [GO:0003866]	cytoplasm [GO:0005737]	GO:0003866; GO:0005737; GO:0008652; GO:0009073; GO:0009423	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	EPSP synthase family	None	3.65.10.10;	None	None	None	PF00275;	None	SSF55205;	None	None	None	None	0.019;glyphosate_count=1	None	None
C3MC80	Proteobacteria	Bacteria	Alphaproteobacteria	cytoplasm [GO:0005737]; 3-phosphoshikimate 1-carboxyvinyltransferase activity [GO:0003866]; aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	3-phosphoshikimate 1-carboxyvinyltransferase activity [GO:0003866]	cytoplasm [GO:0005737]	GO:0003866; GO:0005737; GO:0008652; GO:0009073; GO:0009423	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	EPSP synthase family	COG0128;	3.65.10.10;	CLU_024321_0_1_5;	YEDHRMA;	533829at2;	PF00275;	None	SSF55205;	None	8_count=1	None	50_count=1	None	None	30-60_count=1
A3TGI7	Actinobacteria	Bacteria	Actinomycetia (high G+C Gram-positive bacteria)	cytoplasm [GO:0005737]; 3-phosphoshikimate 1-carboxyvinyltransferase activity [GO:0003866]; aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	3-phosphoshikimate 1-carboxyvinyltransferase activity [GO:0003866]	cytoplasm [GO:0005737]	GO:0003866; GO:0005737; GO:0008652; GO:0009073; GO:0009423	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	EPSP synthase family	COG0128;	3.65.10.10;	CLU_024321_0_0_11;	None	533829at2;	PF00275;	None	SSF55205;	0.03;phosphoenolpyruvate_count=1;0.083;3-phosphoshikimate_count=2	None	0.373;glyphosate_count=1	None	0.04;glyphosate_count=1	None	None
A0A142K486	Streptophyta	Eukaryota	Magnoliopsida	3-phosphoshikimate 1-carboxyvinyltransferase activity [GO:0003866]; aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	3-phosphoshikimate 1-carboxyvinyltransferase activity [GO:0003866]	None	GO:0003866; GO:0008652; GO:0009073; GO:0009423	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (Fragment)	EPSP synthase family	None	3.65.10.10;	None	None	None	PF00275;	None	SSF55205;	None	None	None	None	None	None	None
A0A142K488	Streptophyta	Eukaryota	Magnoliopsida	3-phosphoshikimate 1-carboxyvinyltransferase activity [GO:0003866]; aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	3-phosphoshikimate 1-carboxyvinyltransferase activity [GO:0003866]	None	GO:0003866; GO:0008652; GO:0009073; GO:0009423	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (Fragment)	EPSP synthase family	None	3.65.10.10;	None	None	None	PF00275;	None	SSF55205;	None	None	None	None	None	None	None
A0A142K487	Streptophyta	Eukaryota	Magnoliopsida	3-phosphoshikimate 1-carboxyvinyltransferase activity [GO:0003866]; aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	3-phosphoshikimate 1-carboxyvinyltransferase activity [GO:0003866]	None	GO:0003866; GO:0008652; GO:0009073; GO:0009423	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (Fragment)	EPSP synthase family	None	3.65.10.10;	None	None	None	PF00275;	None	SSF55205;	None	None	None	None	None	None	None
A0A0D6KU47	Cyanobacteria	Bacteria	None	cytoplasm [GO:0005737]; 3-phosphoshikimate 1-carboxyvinyltransferase activity [GO:0003866]; aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	3-phosphoshikimate 1-carboxyvinyltransferase activity [GO:0003866]	cytoplasm [GO:0005737]	GO:0003866; GO:0005737; GO:0008652; GO:0009073; GO:0009423	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	EPSP synthase family	None	3.65.10.10;	CLU_024321_0_1_3;	None	533829at2;	PF00275;	None	SSF55205;	None	None	None	None	0.014;glyphosate_count=1	None	None
A0A0139XBW5	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0.049;glyphosate_count=1	None	None
K9RIB8	Cyanobacteria	Bacteria	None	cytoplasm [GO:0005737]; 3-phosphoshikimate 1-carboxyvinyltransferase activity [GO:0003866]; aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	3-phosphoshikimate 1-carboxyvinyltransferase activity [GO:0003866]	cytoplasm [GO:0005737]	GO:0003866; GO:0005737; GO:0008652; GO:0009073; GO:0009423	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	EPSP synthase family	COG0128;	3.65.10.10;	CLU_024321_0_1_3;	None	533829at2;	PF00275;	None	SSF55205;	None	None	None	None	0.253;glyphosate_count=1	None	None
K9QNN0	Cyanobacteria	Bacteria	None	cytoplasm [GO:0005737]; 3-phosphoshikimate 1-carboxyvinyltransferase activity [GO:0003866]; aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	3-phosphoshikimate 1-carboxyvinyltransferase activity [GO:0003866]	cytoplasm [GO:0005737]	GO:0003866; GO:0005737; GO:0008652; GO:0009073; GO:0009423	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	EPSP synthase family	COG0128;	3.65.10.10;	CLU_024321_0_1_3;	YEDHRMA;	533829at2;	PF00275;	None	SSF55205;	None	None	None	None	0.013;glyphosate_count=1	None	None
