Entry	Taxonomic_lineage_PHYLUM	Taxonomic_lineage_SUPERKINGDOM	Taxonomic_lineage_CLASS	Gene_ontology_GO	Gene_ontology_biological_process	Gene_ontology_molecular_function	Gene_ontology_cellular_component	Gene_ontology_IDs	Protein_names	Protein_families	Cross_reference_eggNOG	Cross_reference_Gene3D	Cross_reference_HOGENOM	Cross_reference_OMA	Cross_reference_OrthoDB	Cross_reference_Pfam	Cross_reference_SMART	Cross_reference_SUPFAM	BRENDA_KM	BRENDA_PHO_DATA	BRENDA_KI	BRENDA_TO_DATA	BRENDA_IC50	BRENDA_TN	BRENDA_TS_DATA
A5IL43	Thermotogae	Bacteria	Thermotogae	beta-glucosidase activity [GO:0008422]; scopolin beta-glucosidase activity [GO:0102483]; carbohydrate metabolic process [GO:0005975]	carbohydrate metabolic process [GO:0005975]	beta-glucosidase activity [GO:0008422]; scopolin beta-glucosidase activity [GO:0102483]	None	GO:0005975; GO:0008422; GO:0102483	Beta-glucosidase. Glycosyl Hydrolase family 3 (EC 3.2.1.21)	Glycosyl hydrolase 3 family	COG1472;	2.60.40.10;3.20.20.300;3.40.50.1700;	CLU_004542_4_1_0;	VEPAYEF;	None	PF14310;PF00933;PF01915;	SM01217;	SSF51445;SSF52279;	2.32;4-nitrophenyl beta-D-glucopyranoside_count=1;3.03;4-nitrophenyl beta-D-glucopyranoside_count=2	5_count=1;4_count=2	None	90_count=1;70_count=2	None	26.89;4-nitrophenyl beta-D-glucopyranoside_count=1;51.43;4-nitrophenyl beta-D-glucopyranoside_count=2	85_count=1;100_count=2;90_count=3
P26208	Firmicutes	Bacteria	Clostridia	beta-glucosidase activity [GO:0008422]; scopolin beta-glucosidase activity [GO:0102483]; cellulose catabolic process [GO:0030245]	cellulose catabolic process [GO:0030245]	beta-glucosidase activity [GO:0008422]; scopolin beta-glucosidase activity [GO:0102483]	None	GO:0008422; GO:0030245; GO:0102483	Beta-glucosidase A (EC 3.2.1.21) (Beta-D-glucoside glucohydrolase) (Cellobiase) (Gentiobiase)	Glycosyl hydrolase 1 family	COG2723;	None	CLU_001859_1_3_9;	VEQWITL;	None	PF00232;	None	SSF51445;	None	None	None	60_count=1	None	None	None
A0A2I2LGB3	None	None	None	beta-glucosidase activity [GO:0008422]; scopolin beta-glucosidase activity [GO:0102483]; cellulose catabolic process [GO:0030245]	cellulose catabolic process [GO:0030245]	beta-glucosidase activity [GO:0008422]; scopolin beta-glucosidase activity [GO:0102483]	None	GO:0008422; GO:0030245; GO:0102483	Beta-glucosidase (EC 3.2.1.21)	None	None	None	None	None	None	PF00232;	None	SSF51445;	None	None	None	40_count=1	None	None	40_count=1;46.7_count=2
S5U834	Firmicutes	Bacteria	Bacilli	beta-glucosidase activity [GO:0008422]; scopolin beta-glucosidase activity [GO:0102483]; cellulose catabolic process [GO:0030245]	cellulose catabolic process [GO:0030245]	beta-glucosidase activity [GO:0008422]; scopolin beta-glucosidase activity [GO:0102483]	None	GO:0008422; GO:0030245; GO:0102483	Beta-glucosidase (EC 3.2.1.21)	Glycosyl hydrolase 1 family	None	None	None	None	None	PF00232;	None	SSF51445;	12.3;cellobiose_count=1;0.29;4-nitrophenyl beta-D-glucopyranoside_count=2	None	None	60_count=1	None	None	None
B8CYA8	Firmicutes	Bacteria	Clostridia	beta-glucosidase activity [GO:0008422]; scopolin beta-glucosidase activity [GO:0102483]; cellulose catabolic process [GO:0030245]	cellulose catabolic process [GO:0030245]	beta-glucosidase activity [GO:0008422]; scopolin beta-glucosidase activity [GO:0102483]	None	GO:0008422; GO:0030245; GO:0102483	Beta-glucosidase (EC 3.2.1.21)	Glycosyl hydrolase 1 family	COG2723;	None	CLU_001859_1_3_9;	VEQWITL;	654705at2;	PF00232;	None	SSF51445;	10.0;cellobiose_count=1;26.3;lactose_count=6	None	None	None	None	366.0;lactose_count=5;387.0;cellobiose_count=7	None
A0A075EKG1	Ascomycota	Eukaryota	Eurotiomycetes	beta-glucosidase activity [GO:0008422]; scopolin beta-glucosidase activity [GO:0102483]; cellulose catabolic process [GO:0030245]	cellulose catabolic process [GO:0030245]	beta-glucosidase activity [GO:0008422]; scopolin beta-glucosidase activity [GO:0102483]	None	GO:0008422; GO:0030245; GO:0102483	Beta-glucosidase (EC 3.2.1.21)	Glycosyl hydrolase 3 family	None	2.60.40.10;3.20.20.300;3.40.50.1700;	None	None	None	PF14310;PF00933;PF01915;	SM01217;	SSF51445;SSF52279;	None	None	None	60_count=1	None	None	55_count=1;65_count=2;70_count=3
B9K7M5	Thermotogae	Bacteria	Thermotogae	glucan 1,4-beta-glucosidase activity [GO:0031217]; scopolin beta-glucosidase activity [GO:0102483]; cellulose catabolic process [GO:0030245]	cellulose catabolic process [GO:0030245]	glucan 1,4-beta-glucosidase activity [GO:0031217]; scopolin beta-glucosidase activity [GO:0102483]	None	GO:0030245; GO:0031217; GO:0102483	1,4-beta-D-glucan glucohydrolase (Glucan glucohydrolase) (EC 3.2.1.74) (Beta-D-glucoside glucohydrolase) (Beta-glucosidase) (EC 3.2.1.21) (Glucan 1,4-beta-glucosidase)	Glycosyl hydrolase 1 family	COG2723;	None	CLU_001859_1_3_0;	None	None	PF00232;	None	SSF51445;	0.13;quercetin 3-O-beta-D-glucopyranoside_count=7	5.6_count=1	None	80_count=1	None	13.6;quercetin 3-O-beta-D-glucopyranoside_count=2;485.0;4-nitrophenyl beta-D-glucopyranoside_count=8	101.9_count=6
Q7S3R5	Ascomycota	Eukaryota	Sordariomycetes	beta-glucosidase activity [GO:0008422]; glucan catabolic process [GO:0009251]	glucan catabolic process [GO:0009251]	beta-glucosidase activity [GO:0008422]	None	GO:0008422; GO:0009251	Beta-D-glucoside glucohydrolase	Glycosyl hydrolase 3 family	None	2.60.40.10;3.20.20.300;3.40.50.1700;	CLU_004542_2_3_1;	YFVAPYD;	None	PF14310;PF00933;PF01915;	SM01217;	SSF51445;SSF52279;	0.21;4-nitrophenyl beta-D-glucopyranoside_count=1	5_count=1	None	60_count=1	None	None	None
H0HC94	None	None	None	None	None	None	None	None	Deleted.	None	None	None	None	None	None	None	None	None	10.14;4-nitrophenyl beta-D-glucopyranoside_count=3;13.3;4-nitrophenyl beta-D-glucopyranoside_count=5;2.9;cellobiose_count=9;3.1;4-nitrophenyl beta-D-glucopyranoside_count=11;7.0;4-nitrophenyl beta-D-glucopyranoside_count=15;8.5;4-nitrophenyl beta-D-glucopyranoside_count=18	7.2_count=3	686.0;D-glucose_count=4	None	None	233.0;cellobiose_count=1;131.5;4-nitrophenyl beta-D-glucopyranoside_count=4;163.0;4-nitrophenyl beta-D-glucopyranoside_count=5;230.0;4-nitrophenyl beta-D-glucopyranoside_count=7;277.0;4-nitrophenyl beta-D-glucopyranoside_count=8;334.9;4-nitrophenyl beta-D-glucopyranoside_count=12	None
D2C716	Thermotogae	Bacteria	Thermotogae	hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; carbohydrate metabolic process [GO:0005975]	carbohydrate metabolic process [GO:0005975]	hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]	None	GO:0004553; GO:0005975	Glycoside hydrolase family 3 domain protein	Glycosyl hydrolase 3 family	None	2.60.40.10;3.20.20.300;3.40.50.1700;	CLU_004542_4_1_0;	VEPAYEF;	None	PF14310;PF00933;PF01915;	SM01217;	SSF51445;SSF52279;	1.11;4-nitrophenyl beta-D-cellobioside_count=2;1.34;4-nitrophenyl beta-D-xylopyranoside_count=3;2.35;4-nitrophenyl beta-D-galactopyranoside_count=4;2.95;4-nitrophenyl alpha-D-fucopyranoside_count=5;7.35;cellobiose_count=6	5_count=1	150.0;D-glucose_count=1;200.0;D-xylose_count=2	85_count=1	None	114048.0;4-nitrophenyl alpha-D-fucopyranoside_count=1;1214290.0;4-nitrophenyl beta-D-glucopyranoside_count=2;1469.8;cellobiose_count=3;232540.0;4-nitrophenyl beta-D-xylopyranoside_count=4;78809.5;4-nitrophenyl beta-D-galactopyranoside_count=5;83730.2;4-nitrophenyl beta-D-cellobioside_count=6	None
