Entry	Taxonomic_lineage_PHYLUM	Taxonomic_lineage_SUPERKINGDOM	Taxonomic_lineage_CLASS	Gene_ontology_GO	Gene_ontology_biological_process	Gene_ontology_molecular_function	Gene_ontology_cellular_component	Gene_ontology_IDs	Protein_names	Protein_families	Cross_reference_eggNOG	Cross_reference_Gene3D	Cross_reference_HOGENOM	Cross_reference_OMA	Cross_reference_OrthoDB	Cross_reference_Pfam	Cross_reference_SMART	Cross_reference_SUPFAM	BRENDA_PHO_DATA	BRENDA_TO_DATA	BRENDA_TS_DATA
E2LXX6	Basidiomycota	Eukaryota	Agaricomycetes	polygalacturonase activity [GO:0004650]; cell wall organization [GO:0071555]; pectin catabolic process [GO:0045490]	cell wall organization [GO:0071555]; pectin catabolic process [GO:0045490]	polygalacturonase activity [GO:0004650]	None	GO:0004650; GO:0045490; GO:0071555	Uncharacterized protein	Glycosyl hydrolase 28 family	None	2.160.20.10;	CLU_040116_2_0_1;	EEWAGPL;	None	PF00295;	SM00710;	SSF51126;	None	None	None
P19805	None	None	None	None	None	None	None	None	Demerged into P0CU54 and P0CU55.	None	None	None	None	None	None	None	None	None	5_count=1	60_count=1	50_count=1
O59925	Ascomycota	Eukaryota	Eurotiomycetes	extracellular region [GO:0005576]; polygalacturonase activity [GO:0004650]; cell wall organization [GO:0071555]; pectin catabolic process [GO:0045490]	cell wall organization [GO:0071555]; pectin catabolic process [GO:0045490]	polygalacturonase activity [GO:0004650]	extracellular region [GO:0005576]	GO:0004650; GO:0005576; GO:0045490; GO:0071555	Polygalacturonase (PG) (EC 3.2.1.15) (Pectinase)	Glycosyl hydrolase 28 family	None	2.160.20.10;	None	None	None	PF00295;	SM00710;	SSF51126;	5_count=1	37_count=1	None
S5MK25	Ascomycota	Eukaryota	Sordariomycetes	polygalacturonase activity [GO:0004650]; cell wall organization [GO:0071555]; pectin catabolic process [GO:0045490]	cell wall organization [GO:0071555]; pectin catabolic process [GO:0045490]	polygalacturonase activity [GO:0004650]	None	GO:0004650; GO:0045490; GO:0071555	Endo-polygalacturonase I (EC 3.2.1.15)	Glycosyl hydrolase 28 family	None	2.160.20.10;	None	None	None	PF00295;	SM00710;	SSF51126;	6_count=1	45_count=1	35-45_count=1;55_count=2
Q12708	Ascomycota	Eukaryota	Leotiomycetes	extracellular region [GO:0005576]; polygalacturonase activity [GO:0004650]; cell wall organization [GO:0071555]; pectin catabolic process [GO:0045490]	cell wall organization [GO:0071555]; pectin catabolic process [GO:0045490]	polygalacturonase activity [GO:0004650]	extracellular region [GO:0005576]	GO:0004650; GO:0005576; GO:0045490; GO:0071555	Endo-polygalacturonase (PG) (EC 3.2.1.15) (Pectinase)	Glycosyl hydrolase 28 family	None	2.160.20.10;	None	None	None	PF00295;	SM00710;	SSF51126;	None	None	None
Q9P4W2	Ascomycota	Eukaryota	Eurotiomycetes	extracellular region [GO:0005576]; polygalacturonase activity [GO:0004650]; cell wall organization [GO:0071555]; pectin catabolic process [GO:0045490]	cell wall organization [GO:0071555]; pectin catabolic process [GO:0045490]	polygalacturonase activity [GO:0004650]	extracellular region [GO:0005576]	GO:0004650; GO:0005576; GO:0045490; GO:0071555	Endopolygalacturonase D (PGD) (EC 3.2.1.15) (Pectinase D) (Polygalacturonase D)	Glycosyl hydrolase 28 family	ENOG502QW1P;	2.160.20.10;	None	None	None	PF00295;	SM00710;	SSF51126;	None	None	None
F5B9B9	Ascomycota	Eukaryota	Saccharomycetes	polygalacturonase activity [GO:0004650]; cell wall organization [GO:0071555]; pectin catabolic process [GO:0045490]	cell wall organization [GO:0071555]; pectin catabolic process [GO:0045490]	polygalacturonase activity [GO:0004650]	None	GO:0004650; GO:0045490; GO:0071555	Endo-polygalacturonase	Glycosyl hydrolase 28 family	None	2.160.20.10;	None	None	None	PF00295;	SM00710;	SSF51126;	5.5_count=1	45_count=1	None
P47180	Ascomycota	Eukaryota	Saccharomycetes	extracellular region [GO:0005576]; polygalacturonase activity [GO:0004650]; cell wall organization [GO:0071555]; pectin catabolic process [GO:0045490]	cell wall organization [GO:0071555]; pectin catabolic process [GO:0045490]	polygalacturonase activity [GO:0004650]	extracellular region [GO:0005576]	GO:0004650; GO:0005576; GO:0045490; GO:0071555	Polygalacturonase (PG) (EC 3.2.1.15) (PGase SM) (Pectinase)	Glycosyl hydrolase 28 family	ENOG502QTAW;	2.160.20.10;	CLU_040116_0_0_1;	GSTIKFM;	None	PF00295;	SM00710;	SSF51126;	4.5_count=1	45_count=1	None
G0XZD8	Ascomycota	Eukaryota	Eurotiomycetes	extracellular region [GO:0005576]; polygalacturonase activity [GO:0004650]; cell wall organization [GO:0071555]; pectin catabolic process [GO:0045490]	cell wall organization [GO:0071555]; pectin catabolic process [GO:0045490]	polygalacturonase activity [GO:0004650]	extracellular region [GO:0005576]	GO:0004650; GO:0005576; GO:0045490; GO:0071555	Endo-polygalacturonase (EC 3.2.1.15)	Glycosyl hydrolase 28 family	None	2.160.20.10;	None	None	None	PF00295;	SM00710;	SSF51126;	3.5_count=1	40_count=1	60_count=1;40_count=2;50_count=3
Q96549	Streptophyta	Eukaryota	Magnoliopsida	polygalacturonase activity [GO:0004650]; carbohydrate metabolic process [GO:0005975]	carbohydrate metabolic process [GO:0005975]	polygalacturonase activity [GO:0004650]	None	GO:0004650; GO:0005975	Polygalacturonase (EC 3.2.1.15) (Fragment)	Glycosyl hydrolase 28 family	None	2.160.20.10;	None	None	None	PF00295;	None	SSF51126;	None	None	None
A4K7S2	Streptophyta	Eukaryota	Magnoliopsida	polygalacturonase activity [GO:0004650]; carbohydrate metabolic process [GO:0005975]	carbohydrate metabolic process [GO:0005975]	polygalacturonase activity [GO:0004650]	None	GO:0004650; GO:0005975	Putative polygalacturonase	Glycosyl hydrolase 28 family	None	2.160.20.10;	None	None	None	PF00295;	SM00710;	SSF51126;	None	None	None
Q6TA03	Ascomycota	Eukaryota	Saccharomycetes	polygalacturonase activity [GO:0004650]; cell wall organization [GO:0071555]; pectin catabolic process [GO:0045490]	cell wall organization [GO:0071555]; pectin catabolic process [GO:0045490]	polygalacturonase activity [GO:0004650]	None	GO:0004650; GO:0045490; GO:0071555	Endopolygalacturonase (EC 3.2.1.15)	Glycosyl hydrolase 28 family	None	2.160.20.10;	None	None	None	PF00295;	SM00710;	SSF51126;	4.5_count=1	55_count=1	20-65_count=1
