Entry	Taxonomic_lineage_PHYLUM	Taxonomic_lineage_SUPERKINGDOM	Taxonomic_lineage_CLASS	Gene_ontology_GO	Gene_ontology_biological_process	Gene_ontology_molecular_function	Gene_ontology_cellular_component	Gene_ontology_IDs	Protein_names	Protein_families	Cross_reference_eggNOG	Cross_reference_Gene3D	Cross_reference_HOGENOM	Cross_reference_OMA	Cross_reference_OrthoDB	Cross_reference_Pfam	Cross_reference_SMART	Cross_reference_SUPFAM	BRENDA_KM	BRENDA_PHO_DATA	BRENDA_TO_DATA	BRENDA_IC50	BRENDA_TN	BRENDA_TS_DATA
A0A1U9Y677	Firmicutes	Bacteria	Bacilli	glutamate decarboxylase activity [GO:0004351]; pyridoxal phosphate binding [GO:0030170]; glutamate metabolic process [GO:0006536]	glutamate metabolic process [GO:0006536]	glutamate decarboxylase activity [GO:0004351]; pyridoxal phosphate binding [GO:0030170]	None	GO:0004351; GO:0006536; GO:0030170	Glutamate decarboxylase (EC 4.1.1.15)	Group II decarboxylase family	None	3.40.640.10;	None	None	None	PF00282;	None	SSF53383;	None	None	None	None	None	None
A0A0B5CSE1	Firmicutes	Bacteria	Bacilli	glutamate decarboxylase activity [GO:0004351]; pyridoxal phosphate binding [GO:0030170]; glutamate metabolic process [GO:0006536]	glutamate metabolic process [GO:0006536]	glutamate decarboxylase activity [GO:0004351]; pyridoxal phosphate binding [GO:0030170]	None	GO:0004351; GO:0006536; GO:0030170	Glutamate decarboxylase (EC 4.1.1.15)	Group II decarboxylase family	None	3.40.640.10;	None	None	None	PF00282;	None	SSF53383;	4.99;L-glutamate_count=1	4_count=1	55_count=1	None	None	75.18_count=1
A0A1G6WRC6	None	None	None	None	None	None	None	None	Deleted.	None	None	None	None	None	None	None	None	None	2.02;L-glutamate_count=2	4.5_count=1	45_count=1	None	None	None
A0A2Y0HLE8	Proteobacteria	Bacteria	Gammaproteobacteria	glutamate decarboxylase activity [GO:0004351]; pyridoxal phosphate binding [GO:0030170]; glutamate metabolic process [GO:0006536]	glutamate metabolic process [GO:0006536]	glutamate decarboxylase activity [GO:0004351]; pyridoxal phosphate binding [GO:0030170]	None	GO:0004351; GO:0006536; GO:0030170	Glutamate decarboxylase (EC 4.1.1.15)	Group II decarboxylase family	None	3.40.640.10;	None	None	None	PF00282;	None	SSF53383;	None	5_count=1	37_count=1	None	None	None
P73043	Cyanobacteria	Bacteria	None	cytosol [GO:0005829]; glutamate decarboxylase activity [GO:0004351]; pyridoxal phosphate binding [GO:0030170]; glutamate catabolic process [GO:0006538]	glutamate catabolic process [GO:0006538]	glutamate decarboxylase activity [GO:0004351]; pyridoxal phosphate binding [GO:0030170]	cytosol [GO:0005829]	GO:0004351; GO:0005829; GO:0006538; GO:0030170	Glutamate decarboxylase (EC 4.1.1.15)	Group II decarboxylase family	COG0076;	3.40.640.10;	None	TMAPHSE;	None	PF00282;	None	SSF53383;	19.6;L-glutamate_count=1	5.8-6_count=1	30_count=1	None	100.7;L-glutamate_count=1	None
Q05683	Chordata	Eukaryota	Mammalia	anchored component of membrane [GO:0031225]; anchoring junction [GO:0070161]; axon [GO:0030424]; cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; Golgi membrane [GO:0000139]; inhibitory synapse [GO:0060077]; perinuclear region of cytoplasm [GO:0048471]; presynaptic membrane [GO:0042734]; synapse [GO:0045202]; synaptic vesicle membrane [GO:0030672]; carboxy-lyase activity [GO:0016831]; glutamate binding [GO:0016595]; glutamate decarboxylase activity [GO:0004351]; protein-containing complex binding [GO:0044877]; pyridoxal phosphate binding [GO:0030170]; chemical synaptic transmission [GO:0007268]; gamma-aminobutyric acid biosynthetic process [GO:0009449]; glutamate decarboxylation to succinate [GO:0006540]; neurotransmitter biosynthetic process [GO:0042136]; response to xenobiotic stimulus [GO:0009410]	chemical synaptic transmission [GO:0007268]; gamma-aminobutyric acid biosynthetic process [GO:0009449]; glutamate decarboxylation to succinate [GO:0006540]; neurotransmitter biosynthetic process [GO:0042136]; response to xenobiotic stimulus [GO:0009410]	carboxy-lyase activity [GO:0016831]; glutamate binding [GO:0016595]; glutamate decarboxylase activity [GO:0004351]; protein-containing complex binding [GO:0044877]; pyridoxal phosphate binding [GO:0030170]	anchored component of membrane [GO:0031225]; anchoring junction [GO:0070161]; axon [GO:0030424]; cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; Golgi membrane [GO:0000139]; inhibitory synapse [GO:0060077]; perinuclear region of cytoplasm [GO:0048471]; presynaptic membrane [GO:0042734]; synapse [GO:0045202]; synaptic vesicle membrane [GO:0030672]	GO:0000139; GO:0004351; GO:0005737; GO:0005829; GO:0006540; GO:0007268; GO:0009410; GO:0009449; GO:0016595; GO:0016831; GO:0030170; GO:0030424; GO:0030672; GO:0031225; GO:0031410; GO:0042136; GO:0042734; GO:0044877; GO:0045202; GO:0048471; GO:0060077; GO:0070161	Glutamate decarboxylase 2 (EC 4.1.1.15) (65 kDa glutamic acid decarboxylase) (GAD-65) (Glutamate decarboxylase 65 kDa isoform)	Group II decarboxylase family	KOG0629;	3.40.640.10;	CLU_011856_0_0_1;	VACTCDQ;	810772at2759;	PF00282;	None	SSF53383;	None	None	None	None	None	None
W0P1N8	Firmicutes	Bacteria	Bacilli	glutamate decarboxylase activity [GO:0004351]; pyridoxal phosphate binding [GO:0030170]; glutamate metabolic process [GO:0006536]	glutamate metabolic process [GO:0006536]	glutamate decarboxylase activity [GO:0004351]; pyridoxal phosphate binding [GO:0030170]	None	GO:0004351; GO:0006536; GO:0030170	Glutamate decarboxylase (EC 4.1.1.15)	Group II decarboxylase family	None	3.40.640.10;	None	None	None	PF00282;	None	SSF53383;	None	5_count=1	37_count=1	None	None	None
E0D5D7	Firmicutes	Bacteria	Bacilli	glutamate decarboxylase activity [GO:0004351]; pyridoxal phosphate binding [GO:0030170]; glutamate metabolic process [GO:0006536]	glutamate metabolic process [GO:0006536]	glutamate decarboxylase activity [GO:0004351]; pyridoxal phosphate binding [GO:0030170]	None	GO:0004351; GO:0006536; GO:0030170	Glutamate decarboxylase (EC 4.1.1.15)	Group II decarboxylase family	None	3.40.640.10;	None	None	None	PF00282;	None	SSF53383;	3.26;L-glutamate_count=1	4.5_count=1	55_count=1	None	None	None
A0A0D3R1A0	Firmicutes	Bacteria	Bacilli	glutamate decarboxylase activity [GO:0004351]; pyridoxal phosphate binding [GO:0030170]; glutamate metabolic process [GO:0006536]	glutamate metabolic process [GO:0006536]	glutamate decarboxylase activity [GO:0004351]; pyridoxal phosphate binding [GO:0030170]	None	GO:0004351; GO:0006536; GO:0030170	Glutamate decarboxylase (EC 4.1.1.15)	Group II decarboxylase family	None	3.40.640.10;	None	None	None	PF00282;	None	SSF53383;	16.0;L-glutamate_count=1	5_count=1	55_count=1	None	None	None
A0A0J2E2M6	Proteobacteria	Bacteria	Gammaproteobacteria	glutamate decarboxylase activity [GO:0004351]; pyridoxal phosphate binding [GO:0030170]; glutamate metabolic process [GO:0006536]	glutamate metabolic process [GO:0006536]	glutamate decarboxylase activity [GO:0004351]; pyridoxal phosphate binding [GO:0030170]	None	GO:0004351; GO:0006536; GO:0030170	Glutamate decarboxylase (EC 4.1.1.15)	Group II decarboxylase family	None	3.40.640.10;	None	None	None	PF00282;	None	SSF53383;	None	5_count=1	37_count=1	None	None	None
