Entry	Taxonomic_lineage_PHYLUM	Taxonomic_lineage_SUPERKINGDOM	Taxonomic_lineage_CLASS	Gene_ontology_GO	Gene_ontology_biological_process	Gene_ontology_molecular_function	Gene_ontology_cellular_component	Gene_ontology_IDs	Protein_names	Protein_families	Cross_reference_eggNOG	Cross_reference_Gene3D	Cross_reference_HOGENOM	Cross_reference_OMA	Cross_reference_OrthoDB	Cross_reference_Pfam	Cross_reference_SMART	Cross_reference_SUPFAM	BRENDA_KM	BRENDA_PHO_DATA	BRENDA_KI	BRENDA_TO_DATA	BRENDA_IC50	BRENDA_TN	BRENDA_TS_DATA
Q9KVZ2	Proteobacteria	Bacteria	Gammaproteobacteria	beta-lactamase activity [GO:0008800]; zinc ion binding [GO:0008270]; antibiotic catabolic process [GO:0017001]; response to antibiotic [GO:0046677]	antibiotic catabolic process [GO:0017001]; response to antibiotic [GO:0046677]	beta-lactamase activity [GO:0008800]; zinc ion binding [GO:0008270]	None	GO:0008270; GO:0008800; GO:0017001; GO:0046677	Beta-lactamase (EC 3.5.2.6)	Metallo-beta-lactamase superfamily, Class-B beta-lactamase family	None	3.60.15.10;	None	None	None	None	SM00849;	SSF56281;	None	None	None	None	None	None	None
A0EL75	Proteobacteria	Bacteria	Gammaproteobacteria	beta-lactamase activity [GO:0008800]; beta-lactam antibiotic catabolic process [GO:0030655]; response to antibiotic [GO:0046677]	beta-lactam antibiotic catabolic process [GO:0030655]; response to antibiotic [GO:0046677]	beta-lactamase activity [GO:0008800]	None	GO:0008800; GO:0030655; GO:0046677	Beta-lactamase (EC 3.5.2.6)	Class-A beta-lactamase family	None	3.40.710.10;	None	None	None	PF13354;	None	SSF56601;	None	None	None	None	None	None	None
Q93F76	Proteobacteria	Bacteria	Gammaproteobacteria	beta-lactamase activity [GO:0008800]; metal ion binding [GO:0046872]; beta-lactam antibiotic catabolic process [GO:0030655]; response to antibiotic [GO:0046677]	beta-lactam antibiotic catabolic process [GO:0030655]; response to antibiotic [GO:0046677]	beta-lactamase activity [GO:0008800]; metal ion binding [GO:0046872]	None	GO:0008800; GO:0030655; GO:0046677; GO:0046872	Beta-lactamase (EC 3.5.2.6)	Class-A beta-lactamase family	None	3.40.710.10;	None	None	None	PF13354;	None	SSF56601;	None	None	None	None	None	None	None
Q7BEB3	Proteobacteria	Bacteria	Gammaproteobacteria	beta-lactamase activity [GO:0008800]; beta-lactam antibiotic catabolic process [GO:0030655]; response to antibiotic [GO:0046677]	beta-lactam antibiotic catabolic process [GO:0030655]; response to antibiotic [GO:0046677]	beta-lactamase activity [GO:0008800]	None	GO:0008800; GO:0030655; GO:0046677	Beta-lactamase (EC 3.5.2.6)	Class-A beta-lactamase family	None	3.40.710.10;	None	None	None	PF13354;	None	SSF56601;	None	None	None	None	None	None	None
Q51578	Proteobacteria	Bacteria	Gammaproteobacteria	outer membrane-bounded periplasmic space [GO:0030288]; beta-lactamase activity [GO:0008800]; metal ion binding [GO:0046872]; antibiotic catabolic process [GO:0017001]; response to antibiotic [GO:0046677]	antibiotic catabolic process [GO:0017001]; response to antibiotic [GO:0046677]	beta-lactamase activity [GO:0008800]; metal ion binding [GO:0046872]	outer membrane-bounded periplasmic space [GO:0030288]	GO:0008800; GO:0017001; GO:0030288; GO:0046677; GO:0046872	Beta-lactamase (EC 3.5.2.6)	Class-C beta-lactamase family	None	3.40.710.10;	None	None	None	PF00144;	None	SSF56601;	None	None	None	None	None	None	None
G3GCC6	Proteobacteria	Bacteria	Gammaproteobacteria	beta-lactamase activity [GO:0008800]; beta-lactam antibiotic catabolic process [GO:0030655]; response to antibiotic [GO:0046677]	beta-lactam antibiotic catabolic process [GO:0030655]; response to antibiotic [GO:0046677]	beta-lactamase activity [GO:0008800]	None	GO:0008800; GO:0030655; GO:0046677	Beta-lactamase (EC 3.5.2.6) (Fragment)	Class-A beta-lactamase family	None	3.40.710.10;	None	None	None	PF13354;	None	SSF56601;	None	7_count=1	0.022;tazobactam_count=1;0.023;Sulbactam_count=2;0.03;clavulanic acid_count=3;0.0438;ZINC01807204_count=4	30_count=1	0.099;tazobactam_count=1;0.106;Sulbactam_count=2;0.137;clavulanic acid_count=3;0.2;ZINC01807204_count=4	None	None
E6Y3G9	Proteobacteria	Bacteria	Gammaproteobacteria	beta-lactamase activity [GO:0008800]	None	beta-lactamase activity [GO:0008800]	None	GO:0008800	Metallo-beta-lactamase subclass B3 (Subclass B3 metallo-beta-lactamase BJP-1) (Subclass B3 metallo-beta-lactamase POM-1)	None	None	3.60.15.10;	None	None	None	PF00753;	SM00849;	SSF56281;	0.007;Cephalothin_count=2;0.004;ertapenem_count=3;0.007;doripenem_count=4;0.016;meropenem_count=5;0.052;Imipenem_count=6;0.053;piperacillin_count=7;0.063;cefotaxime_count=8;0.102;panipenem_count=9;0.5;ticarcillin_count=10	None	None	30_count=1	None	9.0;piperacillin_count=1;190.0;ticarcillin_count=2;312.0;Imipenem_count=3;500.0;panipenem_count=4;51.0;doripenem_count=5;60.0;Cephalothin_count=6;69.0;ertapenem_count=7;220.0;meropenem_count=8;190.0;ampicillin_count=9;56.0;cefotaxime_count=10	None
J9XTR7	Proteobacteria	Bacteria	Gammaproteobacteria	penicillin binding [GO:0008658]	None	penicillin binding [GO:0008658]	None	GO:0008658	Carbapenemase OXA-24 (Fragment)	None	None	3.40.710.10;	None	None	None	PF00905;	None	SSF56601;	0.028;nitrocefin_count=2	7.2_count=1	3e-05;penem 1_count=1;0.00015;penem 3_count=2	None	0.00015;penem 1_count=1;0.00016;penem 3_count=2	None	None
A0A024FRL9	Proteobacteria	Bacteria	Gammaproteobacteria	None	None	None	None	None	Metallo-beta-lactamase NDM-12	None	None	3.60.15.10;	None	None	None	PF00753;	SM00849;	SSF56281;	None	7.2_count=1	None	25_count=1	None	None	None
S5ZIP8	Proteobacteria	Bacteria	Gammaproteobacteria	None	None	None	None	None	Metallo-beta-lactamase NDM-10	None	None	3.60.15.10;	None	None	None	PF00753;	SM00849;	SSF56281;	None	7.2_count=1	None	25_count=1	None	None	None
T2A6Y2	Proteobacteria	Bacteria	Gammaproteobacteria	None	None	None	None	None	New Delhi metallo-beta-lactamase	None	None	3.60.15.10;	None	None	None	PF00753;	SM00849;	SSF56281;	None	7.2_count=1	None	25_count=1	None	None	None
M1VE66	Proteobacteria	Bacteria	Gammaproteobacteria	beta-lactamase activity [GO:0008800]; metal ion binding [GO:0046872]	None	beta-lactamase activity [GO:0008800]; metal ion binding [GO:0046872]	None	GO:0008800; GO:0046872	Metallo-beta-lactamase NDM-8 (NDM-8 metallo-beta-lactamase)	None	None	3.60.15.10;	None	None	None	PF00753;	SM00849;	SSF56281;	0.019;ceftazidime_count=2;0.005;cefalotin_count=3;0.016;cefoxitin_count=4;0.054;meropenem_count=5;0.151;doripenem_count=6;0.229;ampicillin_count=7;0.02;Imipenem_count=8	7.2_count=1	0.146;nitrocefin_count=1	25_count=1	None	142.0;meropenem_count=1;267.0;doripenem_count=2;273.0;ampicillin_count=3;3.0;cefoxitin_count=4;44.0;nitrocefin_count=5;5.0;ceftazidime_count=6;9.0;cefalotin_count=7;54.0;Imipenem_count=8	72.1_count=1
J7I0S9	Proteobacteria	Bacteria	Gammaproteobacteria	None	None	None	None	None	Beta-lactamase NDM-7 (Class B carbapenemase NDM-7) (Metallo-beta-lactamase NDM-7) (NDM-7) (NDM-7 metallo-beta-lactamase) (New Delhi metallo beta lactamase 7)	None	None	3.60.15.10;	None	None	None	PF00753;	SM00849;	SSF56281;	0.023;cefoxitin_count=1;0.011;cefalotin_count=3;0.045;meropenem_count=4;0.056;Imipenem_count=5;0.064;doripenem_count=6;0.079;ceftazidime_count=7;0.207;ampicillin_count=8	7.2_count=1	0.079;nitrocefin_count=1	25_count=1	None	4.0;cefoxitin_count=1;127.0;Imipenem_count=2;15.0;nitrocefin_count=3;16.0;ceftazidime_count=4;18.0;cefalotin_count=5;194.0;meropenem_count=6;348.0;doripenem_count=7;477.0;ampicillin_count=8	64.6_count=1
H6WET3	Proteobacteria	Bacteria	Gammaproteobacteria	None	None	None	None	None	NDM-6 metallo-beta-lactamase (Fragment)	None	None	3.60.15.10;	None	None	None	PF00753;	SM00849;	SSF56281;	0.119;doripenem_count=1;0.062;Imipenem_count=2;0.01;cefalotin_count=3;0.107;cefoxitin_count=4;0.144;ceftazidime_count=5;0.455;ampicillin_count=6;0.008;nitrocefin_count=7;0.049;meropenem_count=8	7.2_count=1	None	25_count=1	None	1032.0;doripenem_count=1;1375.0;ampicillin_count=2;18.0;cefoxitin_count=3;29.0;ceftazidime_count=4;355.0;Imipenem_count=5;362.0;meropenem_count=6;49.0;nitrocefin_count=7;63.0;cefalotin_count=8	55.1_count=1
A0A0F6N6D4	Proteobacteria	Bacteria	Gammaproteobacteria	None	None	None	None	None	New Delhi metallo-beta-lactamase 5 (Fragment)	None	None	3.60.15.10;	None	None	None	PF00753;	SM00849;	SSF56281;	0.006;nitrocefin_count=1;0.086;ceftazidime_count=2;0.015;cefalotin_count=3;0.027;cefoxitin_count=4;0.099;meropenem_count=5;0.126;doripenem_count=6;0.148;Imipenem_count=7;0.156;ampicillin_count=8	7.2_count=1	0.139;nitrocefin_count=1	25_count=1	None	15.0;ceftazidime_count=1;25.0;cefalotin_count=2;33.0;nitrocefin_count=3;332.0;Imipenem_count=4;408.0;ampicillin_count=5;413.0;meropenem_count=6;75.0;doripenem_count=7;4.0;cefoxitin_count=8	64.6_count=1
H6WZS9	Proteobacteria	Bacteria	Gammaproteobacteria	metal ion binding [GO:0046872]	None	metal ion binding [GO:0046872]	None	GO:0046872	Metallo-beta-lactamase NDM-4 (NDM-4) (New Delhi metallo-beta-lactamase NDM-4)	None	None	3.60.15.10;	None	None	None	PF00753;	SM00849;	SSF56281;	0.063;cefoxitin_count=2;0.119;meropenem_count=3;0.125;doripenem_count=4;0.133;ceftazidime_count=5;0.305;ampicillin_count=6;0.062;Imipenem_count=7;0.011;cefalotin_count=8	7.2_count=1	0.102;nitrocefin_count=1	25_count=1	None	14.0;cefoxitin_count=1;252.0;Imipenem_count=3;38.0;nitrocefin_count=4;45.0;cefalotin_count=5;583.0;meropenem_count=6;743.0;doripenem_count=7;900.0;ampicillin_count=8	61.4_count=1
I3VKD5	Proteobacteria	Bacteria	Gammaproteobacteria	metal ion binding [GO:0046872]	None	metal ion binding [GO:0046872]	None	GO:0046872	Metallo-beta-lactamase NDM-3 (NDM-3 metallo-beta-lactamase)	None	None	3.60.15.10;	None	None	None	PF00753;	SM00849;	SSF56281;	0.115;ceftazidime_count=2;0.013;cefalotin_count=3;0.05;cefoxitin_count=4;0.058;meropenem_count=5;0.083;doripenem_count=6;0.258;ampicillin_count=7;0.082;Imipenem_count=8	7.2_count=1	None	25_count=1	None	30.0;nitrocefin_count=1;170.0;doripenem_count=2;23.0;ceftazidime_count=3;238.0;meropenem_count=4;53.0;cefalotin_count=5;724.0;ampicillin_count=6;757.0;Imipenem_count=7;6.0;cefoxitin_count=8	63.4_count=1
F2YZ26	Proteobacteria	Bacteria	Gammaproteobacteria	None	None	None	None	None	Metallo-beta-lactamase NDM-2 (NDM-2) (NDM-2 metallo-beta-lactamase) (New Delhi metallo-beta-lactamase)	None	None	3.60.15.10;	None	None	None	PF00753;	SM00849;	SSF56281;	None	7.2_count=1	None	25_count=1	None	None	None
C7C422	Proteobacteria	Bacteria	Gammaproteobacteria	periplasmic space [GO:0042597]; beta-lactamase activity [GO:0008800]; zinc ion binding [GO:0008270]; antibiotic catabolic process [GO:0017001]; response to antibiotic [GO:0046677]	antibiotic catabolic process [GO:0017001]; response to antibiotic [GO:0046677]	beta-lactamase activity [GO:0008800]; zinc ion binding [GO:0008270]	periplasmic space [GO:0042597]	GO:0008270; GO:0008800; GO:0017001; GO:0042597; GO:0046677	Metallo-beta-lactamase type 2 (EC 3.5.2.6) (B2 metallo-beta-lactamase) (Beta-lactamase type II) (Metallo-beta-lactamase NDM-1) (Metallo-beta-lactamase type II) (New Delhi metallo-beta-lactamase-1) (NDM-1)	Metallo-beta-lactamase superfamily, Class-B beta-lactamase family	None	3.60.15.10;	None	None	None	PF00753;	SM00849;	SSF56281;	0.029;cefalotin_count=1;0.043;cefoxitin_count=2;0.057;meropenem_count=3;0.078;Imipenem_count=4;0.1;ceftazidime_count=5;0.11;ampicillin_count=6;0.119;doripenem_count=7;0.011;nitrocefin_count=8	7.2_count=1	None	25_count=1	None	10.0;cefoxitin_count=1;226.0;doripenem_count=2;24.0;ceftazidime_count=3;301.0;meropenem_count=4;447.0;ampicillin_count=5;600.0;Imipenem_count=6;65.0;nitrocefin_count=7;75.0;cefalotin_count=8	59.5_count=1
