Entry	Taxonomic_lineage_PHYLUM	Taxonomic_lineage_SUPERKINGDOM	Taxonomic_lineage_CLASS	Gene_ontology_GO	Gene_ontology_biological_process	Gene_ontology_molecular_function	Gene_ontology_cellular_component	Gene_ontology_IDs	Protein_names	Protein_families	Cross_reference_eggNOG	Cross_reference_Gene3D	Cross_reference_HOGENOM	Cross_reference_OMA	Cross_reference_OrthoDB	Cross_reference_Pfam	Cross_reference_SMART	Cross_reference_SUPFAM	BRENDA_KM	BRENDA_PHO_DATA	BRENDA_KI	BRENDA_TO_DATA	BRENDA_IC50	BRENDA_TN	BRENDA_TS_DATA
Q2SWW9	Proteobacteria	Bacteria	Betaproteobacteria	IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; GMP biosynthetic process [GO:0006177]	GMP biosynthetic process [GO:0006177]	IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]	None	GO:0000166; GO:0003938; GO:0006177; GO:0046872	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205)	IMPDH/GMPR family	None	3.20.20.70;	CLU_022552_2_1_4;	MGYCGAK;	532857at2;	PF00571;PF00478;	SM00116;	SSF54631;	0.039;IMP_count=2;0.052;IMP_count=3;0.355;NAD+_count=4;0.418;NAD+_count=5	8_count=1	None	30_count=1	None	None	71-78_count=1
C3EVF8	None	None	None	None	None	None	None	None	Deleted.	None	None	None	None	None	None	None	None	None	None	8_count=1	None	30_count=1	None	None	None
F1SML7	Chordata	Eukaryota	Mammalia	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; DNA binding [GO:0003677]; IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; GMP biosynthetic process [GO:0006177]; GTP biosynthetic process [GO:0006183]	GMP biosynthetic process [GO:0006177]; GTP biosynthetic process [GO:0006183]	DNA binding [GO:0003677]; IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]	GO:0000166; GO:0003677; GO:0003938; GO:0005634; GO:0005737; GO:0005829; GO:0006177; GO:0006183; GO:0046872	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205)	IMPDH/GMPR family	KOG2550;	3.20.20.70;	None	MGYCGAK;	618077at2759;	PF00571;PF00478;	SM00116;	None	None	None	None	None	None	None	None
Q2TUW2	Euglenozoa	Eukaryota	Kinetoplastea (kinetoplasts)	cytoplasm [GO:0005737]; IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; GMP biosynthetic process [GO:0006177]	GMP biosynthetic process [GO:0006177]	IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]	cytoplasm [GO:0005737]	GO:0000166; GO:0003938; GO:0005737; GO:0006177; GO:0046872	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205)	IMPDH/GMPR family	None	3.20.20.70;	None	None	None	PF00571;PF00478;	SM00116;	SSF54631;	None	None	None	None	None	None	None
A0A0K2E8F8	Firmicutes	Bacteria	Bacilli	IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; GMP biosynthetic process [GO:0006177]	GMP biosynthetic process [GO:0006177]	IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]	None	GO:0000166; GO:0003938; GO:0006177; GO:0046872	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205)	IMPDH/GMPR family	None	3.20.20.70;	None	None	532857at2;	PF00571;PF00478;	SM00116;	SSF54631;	None	None	None	37_count=1	None	None	None
D1MF29	Firmicutes	Bacteria	Bacilli	IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; GMP biosynthetic process [GO:0006177]	GMP biosynthetic process [GO:0006177]	IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]	None	GO:0000166; GO:0003938; GO:0006177; GO:0046872	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205)	IMPDH/GMPR family	None	3.20.20.70;	None	None	None	PF00571;PF00478;	SM00116;	SSF54631;	None	8_count=1	None	40_count=1	None	5.1;IMP_count=5	None
Q756Z6	Ascomycota	Eukaryota	Saccharomycetes	cytoplasm [GO:0005737]; IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; GMP biosynthetic process [GO:0006177]; GTP biosynthetic process [GO:0006183]	GMP biosynthetic process [GO:0006177]; GTP biosynthetic process [GO:0006183]	IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]	cytoplasm [GO:0005737]	GO:0000166; GO:0003938; GO:0005737; GO:0006177; GO:0006183; GO:0046872	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205)	IMPDH/GMPR family	KOG2550;	3.20.20.70;	CLU_022552_2_1_1;	MGYCGAK;	None	PF00571;PF00478;	SM00116;	SSF54631;	0.0902;IMP_count=2;0.28;NAD+_count=4	8_count=1	3.21e-05;Mycophenolic acid_count=1;0.2083;XMP_count=2;3.6;NAD+_count=3	28_count=1	None	2.46;IMP_count=1	None
A0A0S3MSA1	Euglenozoa	Eukaryota	Kinetoplastea (kinetoplasts)	cytoplasm [GO:0005737]; IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; GMP biosynthetic process [GO:0006177]	GMP biosynthetic process [GO:0006177]	IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]	cytoplasm [GO:0005737]	GO:0000166; GO:0003938; GO:0005737; GO:0006177; GO:0046872	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205)	IMPDH/GMPR family	None	3.20.20.70;	None	None	None	PF00571;PF00478;	SM00116;	None	None	None	None	None	None	None	None
P9WKI7	Actinobacteria	Bacteria	Actinomycetia (high G+C Gram-positive bacteria)	peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]; IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; GMP biosynthetic process [GO:0006177]; GTP biosynthetic process [GO:0006183]; IMP catabolic process [GO:0006204]; XMP biosynthetic process [GO:0097293]	GMP biosynthetic process [GO:0006177]; GTP biosynthetic process [GO:0006183]; IMP catabolic process [GO:0006204]; XMP biosynthetic process [GO:0097293]	IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]	peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]	GO:0000166; GO:0003938; GO:0005886; GO:0006177; GO:0006183; GO:0006204; GO:0009274; GO:0046872; GO:0097293	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205) (IMPDH2)	IMPDH/GMPR family	COG0516;COG0517;	3.20.20.70;	None	MGYCGAK;	None	PF00571;PF00478;	SM00116;	SSF54631;	1.005;NAD+_count=2;0.078;IMP_count=4;0.887;NAD+_count=6	8_count=1;8-8.5_count=2	5.0;NAD+_count=2;1.3e-05;2-chloro-5-[[(2-[3-[(1Z)-N-hydroxyethanimidoyl]phenyl]propan-2 yl)carbamoyl]amino]-N,N-dimethylbenzamide_count=3;1.4e-05;N2-(2,3-dichlorophenyl)-N-[2-(pyridin-4-yl)-1 3-benzoxazol-5-yl]-L-alaninamide_count=4;1.7e-05;2-chloro-N N-dimethyl-5-[([2-[3-(prop-1-en-2-yl)phenyl]propan-2 yl]carbamoyl)amino]benzamide_count=5;3.5e-05;2-chloro-N N-diethyl-5-[[(2-[3-[(1Z)-N-hydroxyethanimidoyl]phenyl]propan-2 yl)carbamoyl]amino]benzamide_count=6;3.7e-05;N-[4-chloro-3-(morpholine-4-carbonyl)phenyl]-N'-(2-[3-[(1Z)-N hydroxyethanimidoyl]phenyl]propan-2-yl)urea_count=7;4e-05;(2S)-2-(2,3-dichlorophenoxy)-N-[2-(pyridin-4-yl)-1 3-benzoxazol-6-yl]propanamide_count=8;4e-05;N~2~-(2,3-dichlorophenyl)-N-[2-(pyridin-4-yl)-1 3-benzoxazol-5-yl]alaninamide_count=9;7.6e-05;(2S)-2-(2,3-dichlorophenoxy)-N-[2-(pyridin-4-yl)-1 3-benzoxazol-5-yl]propanamide_count=10;0.0001;(2S)-2-(2-chlorophenoxy)-N-[2-(pyridin-4-yl)-1 3-benzoxazol-5-yl]propanamide_count=11;0.00013;(2S)-2-(2-chloro-3-nitrophenoxy)-N-[2-(pyridin-4-yl)-1 3-benzoxazol-5-yl]propanamide_count=12;0.00015;2-(4-methoxyphenoxy)-N-[2-(pyridin-4-yl)-1 3-benzoxazol-5-yl]propanamide_count=13;0.000158;2-chloro-5-[[(2-[3-[(1Z)-N-hydroxyethanimidoyl]phenyl]propan-2 yl)carbamoyl]amino]benzamide_count=14;0.00024;2-(2-chlorophenoxy)-N-[2-(pyridin-4-yl)-1 3-benzoxazol-5-yl]propanamide_count=15;0.00044;(2R)-2-phenyl-N-[2-(pyridin-4-yl)-1,3-benzoxazol-5-yl]propanamide_count=16;0.00062;(2S)-2-(2,3-dimethoxyphenoxy)-N-[2-(pyridin-4-yl)-1 3-benzoxazol-5-yl]propanamide_count=17;0.00065;2-phenoxy-N-[2-(pyridin-4-yl)-1,3-benzoxazol-5-yl]propanamide_count=18;0.00158;5'-O-([1-[(2E)-4-(4-hydroxy-6-methoxy-7-methyl-3-oxo-1 3-dihydro-2-benzofuran-5-yl)-2-methylbut-2-en-1-yl]-1H-1,2 3-triazol-4-yl]methyl)adenosine_count=19;0.002;2-(2,4-dichlorophenoxy)-N-[2-(pyridin-2-yl)-1 3-benzoxazol-5-yl]propanamide_count=20;6.3;NAD+_count=22	22_count=1;37_count=2	None	0.53;IMP_count=1;0.53;NAD+_count=2;3.1;NAD+_count=5	None
P99106	Firmicutes	Bacteria	Bacilli	IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; GMP biosynthetic process [GO:0006177]	GMP biosynthetic process [GO:0006177]	IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]	None	GO:0000166; GO:0003938; GO:0006177; GO:0046872	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205)	IMPDH/GMPR family	None	3.20.20.70;	CLU_022552_1_0_9;	MGYCGAK;	None	PF00571;PF00478;	SM00116;	SSF54631;	1.762;NAD+_count=2;0.196;IMP_count=3;0.197;IMP_count=4;2.35;NAD+_count=5	9.2_count=1	None	30_count=1	None	None	None
